Enrollment_ID,Semester,CGPA,Attendance_Pct,Books_Issued,Book_Genre_Preference,Fees_Status,Survey_Drop_Thought,Risk_Category
NITP-23-2383,3,9.65,90,8,Biography,Paid,No,no_risk
NITP-23-2384,7,8.93,95,5,Academic,Paid,No,no_risk
NITP-23-2385,5,9.26,85,10,Fiction,Paid,No,no_risk
NITP-23-2386,7,9.53,84,7,Academic,Paid,No,no_risk
NITP-23-2387,7,7.57,84,10,Non-Fiction,Paid,No,no_risk
NITP-23-2388,1,8.42,82,7,Academic,Paid,No,no_risk
NITP-23-2389,1,6.82,65,2,Academic,Paid,No,no_risk
NITP-23-2390,4,8.52,90,5,Academic,Paid,No,no_risk
NITP-23-2391,4,5.26,46,0,Sci-Fi,Partial,Yes,critical
NITP-23-2392,3,6.87,81,7,Non-Fiction,Paid,No,no_risk
NITP-23-2393,6,7.57,97,5,Academic,Paid,No,no_risk
NITP-23-2394,6,6.39,84,6,Sci-Fi,Partial,No,no_risk
NITP-23-2395,6,7.7,90,13,Academic,Paid,No,no_risk
NITP-23-2396,3,8.85,94,9,Academic,Paid,No,no_risk
NITP-23-2397,8,6.13,83,5,Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2398,6,9.51,80,12,Fiction,Paid,No,no_risk
NITP-23-2399,1,8.71,90,10,Academic,Paid,No,no_risk
NITP-23-2400,5,6.09,71,7,Biography,Partial,Maybe,on_the_verge_of_drop
NITP-23-2401,2,0.61,38,1,Sci-Fi,Pending,Yes,critical
NITP-23-2402,5,7.47,83,6,None,Paid,No,no_risk
NITP-23-2403,7,8.69,98,13,Academic,Paid,No,no_risk
NITP-23-2404,3,8.02,88,6,Non-Fiction,Paid,No,no_risk
NITP-23-2405,6,7.02,67,6,Fiction,Paid,No,on_the_verge_of_drop
NITP-23-2406,7,5.95,81,2,Fiction,Paid,No,no_risk
NITP-23-2407,6,6.57,75,7,Sci-Fi,Partial,No,no_risk
NITP-23-2408,4,6.81,81,7,None,Paid,No,no_risk
NITP-23-2409,8,9.71,82,11,Academic,Paid,No,no_risk
NITP-23-2410,3,9.9,92,5,Academic,Paid,No,no_risk
NITP-23-2411,7,2.07,25,1,Fiction,Partial,No,critical
NITP-23-2412,6,7.35,70,3,None,Paid,No,no_risk
NITP-23-2413,4,7.51,90,10,Academic,Paid,No,no_risk
NITP-23-2414,7,7.45,82,7,Academic,Paid,No,no_risk
NITP-23-2415,3,9.6,94,9,Non-Fiction,Paid,No,no_risk
NITP-23-2416,4,1.79,32,2,None,Pending,No,no_risk
NITP-23-2417,5,7.85,95,6,Academic,Paid,No,no_risk
NITP-23-2418,1,3.62,35,0,None,Pending,Yes,critical
NITP-23-2419,5,2.0,22,0,None,Partial,Yes,critical
NITP-23-2420,8,6.96,70,4,None,Paid,No,no_risk
NITP-23-2421,7,7.16,80,6,Academic,Paid,No,no_risk
NITP-23-2422,4,9.53,85,9,Academic,Paid,No,no_risk
NITP-23-2423,4,9.15,98,9,Sci-Fi,Paid,No,no_risk
NITP-23-2424,7,9.47,86,12,Biography,Paid,No,no_risk
NITP-23-2425,1,9.98,84,8,Sci-Fi,Paid,No,no_risk
NITP-23-2426,5,6.48,73,6,Fiction,Paid,No,no_risk
NITP-23-2427,7,8.32,87,8,Academic,Paid,No,no_risk
NITP-23-2428,3,7.84,80,12,Fiction,Paid,No,no_risk
NITP-23-2429,4,7.87,98,9,Fiction,Paid,No,no_risk
NITP-23-2430,5,8.61,82,5,Academic,Paid,No,no_risk
NITP-23-2431,4,9.59,85,10,Biography,Paid,No,no_risk
NITP-23-2432,4,6.55,75,2,Non-Fiction,Paid,No,no_risk
NITP-23-2433,6,6.35,83,3,Non-Fiction,Paid,No,no_risk
NITP-23-2434,7,9.83,95,12,Non-Fiction,Paid,No,no_risk
NITP-23-2435,6,9.3,99,7,Academic,Paid,No,no_risk
NITP-23-2436,4,6.34,69,2,None,Paid,No,no_risk
NITP-23-2437,5,9.57,95,5,Fiction,Paid,No,no_risk
NITP-23-2438,7,9.59,82,6,Academic,Paid,No,no_risk
NITP-23-2439,4,6.73,84,2,Biography,Paid,No,no_risk
NITP-23-2440,8,7.69,92,6,Academic,Paid,No,no_risk
NITP-23-2441,3,5.85,80,4,Biography,Paid,Maybe,on_the_verge_of_drop
NITP-23-2442,1,6.91,73,7,None,Partial,No,no_risk
NITP-23-2443,3,7.56,99,5,Academic,Paid,No,no_risk
NITP-23-2444,4,6.79,81,5,Sci-Fi,Paid,No,no_risk
NITP-23-2445,8,8.74,88,14,Academic,Paid,No,no_risk
NITP-23-2446,3,4.48,43,1,Fiction,Pending,Yes,critical
NITP-23-2447,8,3.5,22,2,None,Pending,Maybe,no_risk
NITP-23-2448,3,9.62,86,5,Biography,Paid,No,no_risk
NITP-23-2449,1,9.23,99,8,Academic,Paid,No,no_risk
NITP-23-2450,2,7.0,83,2,Biography,Partial,Maybe,critical
NITP-23-2451,4,9.78,84,10,Fiction,Paid,No,no_risk
NITP-23-2452,1,5.11,2,1,None,Pending,Maybe,on_the_verge_of_drop
NITP-23-2453,3,1.72,56,1,Fiction,Pending,Yes,no_risk
NITP-23-2454,7,0.46,52,1,Sci-Fi,Pending,Maybe,on_the_verge_of_drop
NITP-23-2455,1,5.18,26,1,None,Pending,Maybe,on_the_verge_of_drop
NITP-23-2456,3,8.5,80,13,Biography,Paid,No,no_risk
NITP-23-2457,3,7.29,80,5,Non-Fiction,Paid,No,no_risk
NITP-23-2458,1,8.0,89,9,Academic,Paid,No,no_risk
NITP-23-2459,7,6.28,66,5,Academic,Partial,No,no_risk
NITP-23-2460,5,3.87,47,1,Sci-Fi,Partial,Yes,critical
NITP-23-2461,1,5.87,79,7,Fiction,Paid,No,no_risk
NITP-23-2462,1,7.72,92,13,Biography,Paid,No,no_risk
NITP-23-2463,1,5.54,67,2,Non-Fiction,Paid,No,no_risk
NITP-23-2464,2,8.05,83,9,Academic,Paid,No,no_risk
NITP-23-2465,2,9.58,92,5,Academic,Paid,No,no_risk
NITP-23-2466,7,8.49,90,11,Biography,Paid,No,no_risk
NITP-23-2467,8,7.31,76,6,None,Paid,No,no_risk
NITP-23-2468,4,7.2,66,4,Academic,Partial,No,no_risk
NITP-23-2469,7,9.26,89,13,Academic,Paid,No,no_risk
NITP-23-2470,6,1.37,34,0,Fiction,Partial,Yes,critical
NITP-23-2471,1,8.36,90,9,Fiction,Paid,No,no_risk
NITP-23-2472,5,2.46,42,0,Sci-Fi,Partial,Yes,critical
NITP-23-2473,8,7.79,84,10,Non-Fiction,Paid,No,no_risk
NITP-23-2474,8,6.28,65,5,Biography,Partial,No,critical
NITP-23-2475,2,7.82,98,14,Biography,Paid,No,no_risk
NITP-23-2476,6,6.11,81,3,None,Paid,Maybe,on_the_verge_of_drop
NITP-23-2477,8,2.2,21,1,Sci-Fi,Pending,Yes,critical
NITP-23-2478,7,9.34,94,11,Academic,Paid,No,no_risk
NITP-23-2479,4,7.22,82,2,Non-Fiction,Paid,No,no_risk
NITP-23-2480,2,8.73,97,6,Academic,Paid,No,no_risk
NITP-23-2481,4,7.0,81,6,Non-Fiction,Paid,No,on_the_verge_of_drop
NITP-23-2482,4,6.03,77,5,Academic,Paid,No,no_risk
NITP-23-2483,7,9.75,89,11,Biography,Paid,No,no_risk
NITP-23-2484,7,0.2,50,1,Sci-Fi,Pending,Yes,critical
NITP-23-2485,6,5.84,68,6,Academic,Paid,No,no_risk
NITP-23-2486,6,1.08,45,0,Sci-Fi,Partial,Maybe,on_the_verge_of_drop
NITP-23-2487,6,8.8,86,11,Academic,Paid,No,no_risk
NITP-23-2488,2,9.92,83,8,Non-Fiction,Paid,No,no_risk
NITP-23-2489,7,1.44,44,2,None,Partial,No,critical
NITP-23-2490,1,7.18,78,5,None,Paid,No,no_risk
NITP-23-2491,6,6.75,68,4,Sci-Fi,Paid,No,no_risk
NITP-23-2492,2,8.77,98,12,Biography,Paid,No,no_risk
NITP-23-2493,3,8.45,91,12,Fiction,Paid,No,no_risk
NITP-23-2494,6,6.61,66,5,Sci-Fi,Paid,Maybe,on_the_verge_of_drop
NITP-23-2495,6,5.62,76,7,Sci-Fi,Paid,No,no_risk
NITP-23-2496,4,5.77,75,4,Academic,Paid,No,no_risk
NITP-23-2497,3,5.7,78,6,Sci-Fi,Paid,No,no_risk
NITP-23-2498,4,4.16,4,0,None,Partial,Yes,critical
NITP-23-2499,2,9.76,92,9,Academic,Paid,No,no_risk
NITP-23-2500,8,6.86,82,6,Fiction,Paid,No,no_risk
